Date,Open,High,Low,Close,Volume,Adj Close
2004-12-27,160.00,185.71,160.00,161.49,000,123.62
2004-12-20,181.83,184.00,156.91,160.00,000,122.49
2004-12-13,183.89,189.83,158.29,158.29,000,121.18
2004-12-06,189.37,193.37,130.63,161.14,000,123.36
2004-11-29,187.77,194.97,162.29,166.63,000,127.56
2004-11-22,188.11,192.00,143.66,163.43,000,125.11
2004-11-15,187.43,193.94,162.29,165.14,000,124.96
2004-11-08,185.49,186.40,130.63,162.06,000,122.63
2004-11-01,182.86,188.46,159.77,162.63,000,123.06
2004-10-25,178.29,185.14,155.20,159.43,000,120.64
2004-10-18,178.97,262.51,143.66,157.71,29068900,119.34
2004-10-11,178.97,179.77,153.14,156.00,000,118.04
2004-10-04,178.97,196.69,156.00,157.14,000,118.91
2004-09-27,170.74,178.97,147.43,155.77,000,117.87
2004-09-20,169.14,174.97,147.77,149.49,000,113.11
2004-09-13,173.03,175.09,147.77,148.23,45776200,112.16
2004-09-06,166.51,173.71,130.63,151.20,000,114.41
2004-08-30,147.77,169.03,144.34,145.71,50005500,110.26
2004-08-23,162.97,168.80,144.34,147.77,000,111.82
2004-08-16,155.43,167.31,139.43,141.49,000,107.06
2004-08-09,153.14,156.46,133.49,136.00,000,102.91
2004-08-02,155.43,157.94,134.06,134.06,000,101.44
2004-07-26,152.11,157.37,130.29,136.34,000,103.17
2004-07-19,155.09,161.71,132.91,132.91,000,100.57
2004-07-12,135.89,139.31,132.69,136.11,000,102.99
2004-07-05,155.77,158.40,134.63,135.89,000,102.82
